"CANCION","GRUPO/ARTISTA","GENERO","PUNTUACION","IMPACTO SOCIAL","TIPO DE IMPACTO","DESCRIPCION","AÑO"
"ALL YOUR LOVE","BLACK SUGAR - BLACK SUGAR II","FUNK/SOUL","878","9","ECONOMICO","D_17","1974"
"WAKE UP","BLACK SUGAR - BLACK SUGAR II","FUNK/SOUL","878","3","CULTURAL","D_18","1974"
"BULE BULE","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","868","7","SOCIAL","D_19","1965"
"SHAIN'S A GO GO","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","868","7","SOCIAL","D_20","1965"
"FEVER","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","868","9","SOCIAL","D_21","1965"
"AGENTE SECRETO","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","868","9","CULTURAL","D_22","1965"
"HOY","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","868","9","CULTURAL","D_23","1965"
"EL BAÑO DEL PAJARO","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","868","7","EDUCATIVO","D_24","1965"
"EL BAÑO DEL PAJARO","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","868","8","EDUCATIVO","D_25","1965"
"EL SABOR DE LA MIEL","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","868","9","SOCIAL","D_26","1965"
"VAMOS","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","868","8","AMBIENTAL","D_27","1965"
"CIUDAD DE ROMPIENTES","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","868","7","ECONOMICO","D_28","1965"
"EL MONSTRUO","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","868","7","EDUCATIVO","D_29","1965"
"MISIRLOU","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","868","10","CULTURAL","D_30","1965"
"TENEMOS QUE IRNOS DE AQUI","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","868","5","POLITICO","D_31","1965"
"ELLA NO ESTA ALLI","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","868","9","CULTURAL","D_32","1965"
"A PATRICIA","LOS DESTELLOS – CONSTELACION","FUNK/SOUL","874","9","POLITICO","D_33","1971"
"SEÑORITA","LOS DESTELLOS – CONSTELACION","FUNK/SOUL","874","7","EDUCATIVO","D_34","1971"
"EL CORNETA","LOS DESTELLOS – CONSTELACION","FUNK/SOUL","874","9","RELIGION","D_35","1971"
"CONSTELACION","LOS DESTELLOS – CONSTELACION","FUNK/SOUL","874","1","AMBIENTAL","D_36","1971"
"ONSTA LA YERBITA","LOS DESTELLOS – CONSTELACION","FUNK/SOUL","874","8","EDUCATIVO","D_37","1971"
"PASION ORIENTAL","LOS DESTELLOS – CONSTELACION","FUNK/SOUL","874","8","POLITICO","D_38","1971"
"PASION ORIENTAL","LOS DESTELLOS – CONSTELACION","FUNK/SOUL","874","6","EDUCATIVO","D_39","1971"
"LA CANCION DE LILY","LOS DESTELLOS – CONSTELACION","FUNK/SOUL","874","10","CULTURAL","D_40","1971"
"LA CANCION DE LILY","LOS DESTELLOS – CONSTELACION","FUNK/SOUL","874","4","CULTURAL","D_41","1971"
"AZUQUITA","LOS DESTELLOS – CONSTELACION","FUNK/SOUL","874","9","SOCIAL","D_42","1971"
"LA ARAÑITA","LOS DESTELLOS – CONSTELACION","FUNK/SOUL","874","7","EDUCATIVO","D_43","1971"
"VIAJECITO","BLACK SUGAR – VIAJECITO / TOO LATE","FUNK/SOUL","920","9","EDUCATIVO","D_44","1971"
"TOO LATE","BLACK SUGAR – VIAJECITO / TOO LATE","FUNK/SOUL","920","5","SOCIAL","D_45","1971"
"JUANECO Y SU COMBO–VACILANDO EN AYAHUASCA","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 1","FUNK/SOUL","910","10","AMBIENTAL","D_46","2015"
"RANIL Y SU CONJUNTO TROPICAL–LAS OLEADAS","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 2","FUNK/SOUL","910","4","POLITICO","D_47","2015"
"GRUPO ARMONIA DE PUCALLPA–SELVA ARDIENTE","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 3","FUNK/SOUL","910","5","CULTURAL","D_48","2015"
"LOS ZHEROS–CUARTO OSCURO","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 4","FUNK/SOUL","910","5","SOCIAL","D_49","2015"
"LOS CHARLES DE HUARAL–EL JUDIO","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 5","FUNK/SOUL","910","9","RELIGION","D_50","2015"
"LOS BLANCAGUAY*–LA NEGRITA","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 6","FUNK/SOUL","910","8","EDUCATIVO","D_51","2015"
"JUANECO Y SU COMBO–LA PASTITA","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 7","FUNK/SOUL","910","9","ECONOMICO","D_52","2015"
"LOS TELSTAR'S–NEGRA TOMA CACHINA","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 8","FUNK/SOUL","910","4","ECONOMICO","D_53","2015"
"LOS RADIANTES*–SEÑOR BRUJO","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 9","FUNK/SOUL","910","5","ECONOMICO","D_54","2015"
"CONJUNTO MIEL–MULATA","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 10","FUNK/SOUL","910","8","POLITICO","D_55","2015"
"GRUPO SANTA FE–SIMPLE DE SANTA FE","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 11","FUNK/SOUL","910","5","POLITICO","D_56","2015"
"EL COMIENZO–EL ARBOL","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 12","FUNK/SOUL","910","1","POLITICO","D_57","2015"
"EL OPIO–KASHANGA","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 13","FUNK/SOUL","910","7","RELIGION","D_58","2015"
"LOS TELSTAR'S–BONGOCERO","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 14","FUNK/SOUL","910","7","EDUCATIVO","D_59","2015"
"THE BLACK CATS (4)–SUENO MAGICO","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 15","FUNK/SOUL","910","10","POLITICO","D_60","2015"
"LOS ESCARAMUJOS–SOUL FINGER","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 16","FUNK/SOUL","910","2","POLITICO","D_61","2015"
"LOS DARLINGS DE HUANUCO–MARIHUANA","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 17","FUNK/SOUL","910","6","EDUCATIVO","D_62","2015"
"CONJUNTO SANTANITA–JE T'AIME NOI NON PLUS","VARIOUS – AYAHUASCA: CUMBIAS PSICODELICAS VOL. 18","FUNK/SOUL","910","7","RELIGION","D_63","2015"
"EL POLLITO","LOS DESTELLOS – EN ORBITA","FUNK/SOUL","944","7","ECONOMICO","D_64","1968"
"CUCARACHA","LOS DESTELLOS – EN ORBITA","FUNK/SOUL","944","2","ECONOMICO","D_65","1968"
"DESCARGA DESTELLOS","LOS DESTELLOS – EN ORBITA","FUNK/SOUL","944","6","CULTURAL","D_66","1968"
"FRENETICA GUAJIRA","LOS DESTELLOS – EN ORBITA","FUNK/SOUL","944","2","ECONOMICO","D_67","1968"
"CUMBIA MORENA","LOS DESTELLOS – EN ORBITA","FUNK/SOUL","944","5","POLITICO","D_68","1968"
"CUMBIA DEL DESIERTO","LOS DESTELLOS – EN ORBITA","FUNK/SOUL","944","6","EDUCATIVO","D_69","1968"
"DIVINA MONTAÑA","LOS DESTELLOS – EN ORBITA","FUNK/SOUL","944","3","EDUCATIVO","D_70","1968"
"PARA ELISA","LOS DESTELLOS – EN ORBITA","FUNK/SOUL","944","9","AMBIENTAL","D_71","1968"
"BOOGALOO DE LOS DESTELLOS","LOS DESTELLOS – EN ORBITA","FUNK/SOUL","944","5","RELIGION","D_72","1968"
"VIRGENCITA","LOS DESTELLOS – EN ORBITA","FUNK/SOUL","944","4","POLITICO","D_73","1968"
"IVANNA","LOS DESTELLOS – EN ORBITA","FUNK/SOUL","944","2","RELIGION","D_74","1968"
"MI RITMO JALAITO","LOS DESTELLOS – EN ORBITA","FUNK/SOUL","944","5","RELIGION","D_75","1968"
"ESO SE LLAMA SON MONTUNO","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","9","EDUCATIVO","D_76","1972"
"VAMONOS PA 'L MONTE","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","9","SOCIAL","D_77","1972"
"ZAMBA KATANGA","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","9","ECONOMICO","D_78","1972"
"EL AGUA DE BELEN","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","9","RELIGION","D_79","1972"
"SONIA","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","10","POLITICO","D_80","1972"
"CAMPO DE FRESAS","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","5","SOCIAL","D_81","1972"
"EL PADRINO","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","7","EDUCATIVO","D_82","1972"
"SAFARI SALVAJE","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","10","POLITICO","D_83","1972"
"K. JEE","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","9","CULTURAL","D_84","1972"
"A LA MEMORIA DEL MUERTO","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","9","CULTURAL","D_85","1972"
"MERECUMBE","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","9","ECONOMICO","D_86","1972"
"LA BOCINA","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","10","RELIGION","D_87","1972"
"PALOMITAS DE MAIZ","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","5","AMBIENTAL","D_88","1972"
"YO TRAIGO LA SALSA","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","8","EDUCATIVO","D_89","1972"
"OTRO AÑO","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","3","RELIGION","D_90","1972"
"QUIERO QUE AMANEZCA","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","10","CULTURAL","D_91","1972"
"BAILE MI RUMBITA","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","4","POLITICO","D_92","1972"
"TAKA TAKATA","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","926","6","ECONOMICO","D_93","1972"
"EL NEGRO JAVIER","SONORA CASINO – TROMPETEROS","FUNK/SOUL","852","10","AMBIENTAL","D_94","1972"
"PASA PASA","SONORA CASINO – TROMPETEROS","FUNK/SOUL","852","5","RELIGION","D_95","1972"
"TROMPETEROS","SONORA CASINO – TROMPETEROS","FUNK/SOUL","852","7","CULTURAL","D_96","1972"
"BOBBY","SONORA CASINO – TROMPETEROS","FUNK/SOUL","852","8","AMBIENTAL","D_97","1972"
"ASTRONAUTAS A MERCURIO","SONORA CASINO – TROMPETEROS","FUNK/SOUL","852","7","ECONOMICO","D_98","1972"
"EL TURRON DE POCHITA","SONORA CASINO – TROMPETEROS","FUNK/SOUL","852","9","RELIGION","D_99","1972"
"GUAJIRA DEL AMOR","SONORA CASINO – TROMPETEROS","FUNK/SOUL","852","5","AMBIENTAL","D_100","1972"
"SERRANO","SONORA CASINO – TROMPETEROS","FUNK/SOUL","852","7","SOCIAL","D_101","1972"
"CANCHA MOTE Y PAPA","SONORA CASINO – TROMPETEROS","FUNK/SOUL","852","8","RELIGION","D_102","1972"
"PA'L GUSTO","SONORA CASINO – TROMPETEROS","FUNK/SOUL","852","4","EDUCATIVO","D_103","1972"
"EL CULANTRO","SONORA CASINO – TROMPETEROS","FUNK/SOUL","852","10","AMBIENTAL","D_104","1972"
"VUDU","JEAN PAUL ""EL TROGLODITA""* – VUDU","FUNK/SOUL","916","4","POLITICO","D_105","1973"
"ANY TIME","JEAN PAUL ""EL TROGLODITA""* – VUDU","FUNK/SOUL","916","7","EDUCATIVO","D_106","1973"
"PEACE AND LOVE","JEAN PAUL ""EL TROGLODITA""* – VUDU","FUNK/SOUL","916","5","POLITICO","D_107","1973"
"EVERYTHING IS GONNA CHANGE","JEAN PAUL ""EL TROGLODITA""* – VUDU","FUNK/SOUL","916","3","AMBIENTAL","D_108","1973"
"TE AMO MAS","JEAN PAUL ""EL TROGLODITA""* – VUDU","FUNK/SOUL","916","4","EDUCATIVO","D_109","1973"
"MAMMY BLUE","JEAN PAUL ""EL TROGLODITA""* – VUDU","FUNK/SOUL","916","2","AMBIENTAL","D_110","1973"
"SOÑAR BAILAR Y CANTAR","JEAN PAUL ""EL TROGLODITA""* – VUDU","FUNK/SOUL","916","7","SOCIAL","D_111","1973"
"REMEMBER MY LOVE","JEAN PAUL ""EL TROGLODITA""* – VUDU","FUNK/SOUL","916","10","ECONOMICO","D_112","1973"
"PORTENSE BIEN","JEAN PAUL ""EL TROGLODITA""* – VUDU","FUNK/SOUL","916","8","POLITICO","D_113","1973"
"ZAMBA, ZAMBA","SANGRE JOVEN (3) – ZAMBA, ZAMBA","FUNK/SOUL","956","9","EDUCATIVO","D_114","1974"
"CHEVERE","SANGRE JOVEN (3) – ZAMBA, ZAMBA","FUNK/SOUL","956","7","ECONOMICO","D_115","1974"
"LOBOS AL ESCAPE","LOS ORIENTALES* – LOBOS AL ESCAPE / LA CARCOCHA","FUNK/SOUL","948","10","POLITICO","D_116","1970"
"LA CARCOCHA","LOS ORIENTALES* – LOBOS AL ESCAPE / LA CARCOCHA","FUNK/SOUL","948","8","CULTURAL","D_117","1970"
"CANDELA"," ZULU","FUNK/SOUL","944","3","EDUCATIVO","D_118","1974"
"SUEÑO DE AMOR"," ZULU","FUNK/SOUL","944","3","POLITICO","D_119","1974"
"COMO UNA ESCALERA"," ZULU","FUNK/SOUL","944","3","ECONOMICO","D_120","1974"
"CARIÑO GRANDE"," ZULU","FUNK/SOUL","944","7","ECONOMICO","D_121","1974"
"SI EN EL CIELO YO VIVIERA"," ZULU","FUNK/SOUL","944","8","SOCIAL","D_122","1974"
"SANA CAMALEON"," ZULU","FUNK/SOUL","944","8","CULTURAL","D_123","1974"
"LABERINTOS"," ZULU","FUNK/SOUL","944","8","ECONOMICO","D_124","1974"
"TUS PALABRAS"," ZULU","FUNK/SOUL","944","4","AMBIENTAL","D_125","1974"
"SAN ISIDRO DE MI"," ZULU","FUNK/SOUL","944","4","RELIGION","D_126","1974"
"COMO LIRIOS EN EL CAMPO"," ZULU","FUNK/SOUL","944","10","ECONOMICO","D_127","1974"
"COMO UN AVE","GRUPO CELESTE – ..EL FABULOSO!","FUNK/SOUL","920","9","CULTURAL","D_128","1975"
"MI LAMENTO","GRUPO CELESTE – ..EL FABULOSO!","FUNK/SOUL","920","9","SOCIAL","D_129","1975"
"PUEBLO","GRUPO CELESTE – ..EL FABULOSO!","FUNK/SOUL","920","9","SOCIAL","D_130","1975"
"CANCION DEL MAESTRO","GRUPO CELESTE – ..EL FABULOSO!","FUNK/SOUL","920","6","SOCIAL","D_131","1975"
"NO TE DEJARE","GRUPO CELESTE – ..EL FABULOSO!","FUNK/SOUL","920","8","SOCIAL","D_132","1975"
"TU RETRATO","GRUPO CELESTE – ..EL FABULOSO!","FUNK/SOUL","920","9","CULTURAL","D_133","1975"
"SOY OBRERO","GRUPO CELESTE – ..EL FABULOSO!","FUNK/SOUL","920","9","AMBIENTAL","D_134","1975"
"HERMANO","GRUPO CELESTE – ..EL FABULOSO!","FUNK/SOUL","920","8","CULTURAL","D_135","1975"
"PERDI UNA FLOR","GRUPO CELESTE – ..EL FABULOSO!","FUNK/SOUL","920","7","POLITICO","D_136","1975"
"MI PEQUEÑA JULIETA","GRUPO CELESTE – ..EL FABULOSO!","FUNK/SOUL","920","8","AMBIENTAL","D_137","1975"
"SACALE CONCIERTO PARA RITMO PARA RITMO ","LOS DESTELLOS – ARROLLANDO","FUNK/SOUL","880","4","SOCIAL","D_138","1973"
"SACALAGUA","LOS DESTELLOS – ARROLLANDO","FUNK/SOUL","880","8","ECONOMICO","D_139","1973"
"LA MALCRIADA","LOS DESTELLOS – ARROLLANDO","FUNK/SOUL","880","4","POLITICO","D_140","1973"
"EL RAPIDITO","LOS DESTELLOS – ARROLLANDO","FUNK/SOUL","880","8","RELIGION","D_141","1973"
"SACALE LA MIEL","LOS DESTELLOS – ARROLLANDO","FUNK/SOUL","880","8","RELIGION","D_142","1973"
"LA NIÑA DE ACUARIO","LOS DESTELLOS – ARROLLANDO","FUNK/SOUL","880","7","EDUCATIVO","D_143","1973"
"AMOR ANDINO","LOS DESTELLOS – ARROLLANDO","FUNK/SOUL","880","8","ECONOMICO","D_144","1973"
"ASI TE QUIERO","LOS DESTELLOS – ARROLLANDO","FUNK/SOUL","880","9","ECONOMICO","D_145","1973"
"RECORDANDO A HUASTA","LOS DESTELLOS – ARROLLANDO","FUNK/SOUL","880","9","CULTURAL","D_146","1973"
"NOCHE DE GARUA","LOS DESTELLOS – ARROLLANDO","FUNK/SOUL","880","8","AMBIENTAL","D_147","1973"
"MI MORENA LINDA","LOS DESTELLOS – ARROLLANDO","FUNK/SOUL","880","1","SOCIAL","D_148","1973"
"ESTE ES EL RITMO QUE ME GUSTA (THAT'S THE WAY I LIKE IT)","ENRIQUE LYNCH Y SU ORQUESTA – BAILEMOS BUMP BUMP","FUNK/SOUL","946","5","AMBIENTAL","D_149","1975"
"AFRICAN BUMP","ENRIQUE LYNCH Y SU ORQUESTA – BAILEMOS BUMP BUMP","FUNK/SOUL","946","8","EDUCATIVO","D_150","1975"
"HAZLO COMO QUIERAS (DO IT ANY WAY YOU WANNA)","ENRIQUE LYNCH Y SU ORQUESTA – BAILEMOS BUMP BUMP","FUNK/SOUL","946","8","RELIGION","D_151","1975"
"EL APURADO (THE HUSTLE)","ENRIQUE LYNCH Y SU ORQUESTA – BAILEMOS BUMP BUMP","FUNK/SOUL","946","6","POLITICO","D_152","1975"
"LA BOTELLA","ENRIQUE LYNCH Y SU ORQUESTA – BAILEMOS BUMP BUMP","FUNK/SOUL","946","3","SOCIAL","D_153","1975"
"AL RITMO DEL BUMP BUMP","ENRIQUE LYNCH Y SU ORQUESTA – BAILEMOS BUMP BUMP","FUNK/SOUL","946","4","SOCIAL","D_154","1975"
"VOLARE","ENRIQUE LYNCH Y SU ORQUESTA – BAILEMOS BUMP BUMP","FUNK/SOUL","946","5","ECONOMICO","D_155","1975"
"SIN PALABRAS","ENRIQUE LYNCH Y SU ORQUESTA – BAILEMOS BUMP BUMP","FUNK/SOUL","946","10","RELIGION","D_156","1975"
"CHOCA LAS CADERAS","ENRIQUE LYNCH Y SU ORQUESTA – BAILEMOS BUMP BUMP","FUNK/SOUL","946","2","ECONOMICO","D_157","1975"
"VUELA, ROBIN, VUELA (FLY, ROBIN, FLY)","ENRIQUE LYNCH Y SU ORQUESTA – BAILEMOS BUMP BUMP","FUNK/SOUL","946","7","ECONOMICO","D_158","1975"
"LA HILANDERA","LOS DESTELLOS – DESTELLANTES","FUNK/SOUL","908","9","SOCIAL","D_159","1974"
"CAMINITO SERRANO","LOS DESTELLOS – DESTELLANTES","FUNK/SOUL","908","8","CULTURAL","D_160","1974"
"EL CAMPESINO","LOS DESTELLOS – DESTELLANTES","FUNK/SOUL","908","8","ECONOMICO","D_161","1974"
"RITA","LOS DESTELLOS – DESTELLANTES","FUNK/SOUL","908","9","SOCIAL","D_162","1974"
"SENCILLITA","LOS DESTELLOS – DESTELLANTES","FUNK/SOUL","908","7","EDUCATIVO","D_163","1974"
"LA LLORONA","LOS DESTELLOS – DESTELLANTES","FUNK/SOUL","908","3","POLITICO","D_164","1974"
"LA PASTORCITA","LOS DESTELLOS – DESTELLANTES","FUNK/SOUL","908","10","CULTURAL","D_165","1974"
"VOLANDO ALTO","LOS DESTELLOS – DESTELLANTES","FUNK/SOUL","908","8","AMBIENTAL","D_166","1974"
"LEJANIA","LOS DESTELLOS – DESTELLANTES","FUNK/SOUL","908","6","EDUCATIVO","D_167","1974"
"ELIAS SORIA","LOS DESTELLOS – DESTELLANTES","FUNK/SOUL","908","10","EDUCATIVO","D_168","1974"
"RESENTIDA","LOS DESTELLOS – DESTELLANTES","FUNK/SOUL","908","8","EDUCATIVO","D_169","1974"
"ESO SE LLAMA SON MONTUNO","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","10","ECONOMICO","D_170","1972"
"VAMONOS PA 'L MONTE","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","8","CULTURAL","D_171","1972"
"ZAMBA KATANGA","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","7","AMBIENTAL","D_172","1972"
"EL AGUA DE BELEN","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","8","CULTURAL","D_173","1972"
"SONIA","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","8","AMBIENTAL","D_174","1972"
"CAMPO DE FRESAS","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","4","AMBIENTAL","D_175","1972"
"EL PADRINO","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","9","POLITICO","D_176","1972"
"SAFARI SALVAJE","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","4","EDUCATIVO","D_177","1972"
"K. JEE","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","9","ECONOMICO","D_178","1972"
"A LA MEMORIA DEL MUERTO","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","8","SOCIAL","D_179","1972"
"MERECUMBE","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","4","POLITICO","D_180","1972"
"LA BOCINA","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","7","EDUCATIVO","D_181","1972"
"PALOMITAS DE MAIZ","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","7","AMBIENTAL","D_182","1972"
"YO TRAIGO LA SALSA","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","6","SOCIAL","D_183","1972"
"OTRO AÑO","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","7","EDUCATIVO","D_184","1972"
"QUIERO QUE AMANEZCA","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","10","POLITICO","D_185","1972"
"BAILE MI RUMBITA","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","5","AMBIENTAL","D_186","1972"
"TAKA TAKATA","ENRIQUE LYNCH Y SU CONJUNTO – BOMBA TROPICAL","FUNK/SOUL","932","7","POLITICO","D_187","1972"
"SUMMER OF '42 = VERANO 42","JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA – JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA","FUNK/SOUL","970","4","CULTURAL","D_188","1976"
"CAN'T GIVE YOU ANYTHING = NO PUEDO DARTE MAS QUE AMOR","JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA – JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA","FUNK/SOUL","970","9","POLITICO","D_189","1977"
"C'EST SI BON","JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA – JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA","FUNK/SOUL","970","3","ECONOMICO","D_190","1978"
"YOU'VE GOT A FRIEND = TIENES UN AMIGO","JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA – JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA","FUNK/SOUL","970","9","AMBIENTAL","D_191","1979"
"FIRE AND RAIN = FUEGO Y LLUVIA","JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA – JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA","FUNK/SOUL","970","5","ECONOMICO","D_192","1980"
"HOW HIGH THE MOON = QUE ALTA ESTA LA LUNA","JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA – JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA","FUNK/SOUL","970","8","CULTURAL","D_193","1981"
